crop,in_scope,pp_passes_low,pp_passes_base,pp_passes_high,basis,source_title,source_url,source_grade,needs_check,note
Rice,Y,1.66,2.17,4.00,observed_survey,"Ajay et al. 2022, 'Large-scale data of crop production practices applied by farmers on their largest rice plot during 2018 in eight Indian states' (CSISA Landscape Diagnostic Survey, 8,355 farmers, kharif 2018), CIMMYT Research Data & Software Repository Network, V3",https://hdl.handle.net/11529/10548656,A,N,"National row, used only for states without a row in seeds/crop_state_spray_passes.csv (the 8 CSISA states, 65% of rice area, have their own). Low 1.66 and base 2.17 are the CSISA state figures weighted by 2018-19 rice area, same rule as the state rows: herbicide count plus 1 (low) or 1.5 (base) per yes for insecticide and fungicide. High 4 = heavy-use practice (Palnadu AP survey 4.32, 41 farmers), kept because the unsurveyed states include high-use southern rice states. Dataset has no licence; only derived figures are used."
Wheat,Y,0.97,0.97,2,observed_survey,"Yadav & Dutta, 'A Study of Pesticide Consumption Pattern and Farmer's Perceptions towards Pesticides: A Case of Tijara Tehsil, Alwar (Rajasthan)', IJCMAS 8(4), 2019 (500 farmers, 2016-18)",https://www.ijcmas.com/8-4-2019/Sucheta%20Yadav%20and%20Subroto%20Dutta.pdf,B,N,"Survey Table 3 (n=500): one application 37.4%, two 27.4%, three 1.6%, none 33.6%, so the mean over all farmers is 0.97. Low and base are that mean (same rule as rice and mustard, set 24 Sep 2026; was 1 / 1). One tehsil in Rajasthan."
Soybean,Y,2,3,5,recommended_schedule,"ICAR-NSRI Indore, Extension Bulletin 18 (2023), 'Improved Technologies and Recommendations for Maximizing Soybean Productivity'",https://icar-nsri.res.in/pdfdoc/ExtensionBulletin2023E_2.pdf,B,N,"Base counts the routine operations: one post-emergence herbicide (10-20 DAS, the two timings are alternatives), one insecticide before flowering, one against defoliators at flowering. High adds the two conditional fungicide sprays for rust. The foliar nutrient spray is excluded here because nutrient passes are modelled separately."
Cotton,Y,2,2.40,5,observed_survey,"Yadav & Dutta, 'A Study of Pesticide Consumption Pattern and Farmer's Perceptions towards Pesticides: A Case of Tijara Tehsil, Alwar (Rajasthan)', IJCMAS 8(4), 2019 (500 farmers, 2016-18)",https://www.ijcmas.com/8-4-2019/Sucheta%20Yadav%20and%20Subroto%20Dutta.pdf,B,N,"Survey Table 3 (n=350 cotton growers): two applications 41.4%, three 52.3%, none 6.3%, so the mean over all farmers is 2.40; base is that mean (same rule as rice and mustard, set 24 Sep 2026; was the modal value, 3). Low 2 is the most common lower answer. High from Sagar et al. 2013, J. Exp. Zool. India (Bt cotton, Karnataka): up to 4-5 sprays in Raichur and Yadgir, 1-3 elsewhere. https://connectjournals.com/file_full_text/1789002H_461-466.pdf"
Maize,Y,1,2,3,recommended_schedule,"ICAR-IIMR, Pest Management page (fall armyworm)",https://iimr.icar.gov.in/?page_id=146,B,Y,"IIMR states 'not more than two chemical sprays are to be used in entire crop duration'; neem and biological sprays are triggered by infestation thresholds. Base = the two-spray cap. Conditional on pest pressure; no observed Indian survey found. Reviewed 24 Sep 2026, left open: no Indian survey with a spray count found. The IIMR figure is a cap on chemical sprays, so the base sits at its top. Pal et al. 2024, Scientific Reports (rabi maize, 10 districts of West Bengal and Bihar, 2021-22, https://www.nature.com/articles/s41598-024-54342-z): 18-71% of farmers at a location applied any insecticide, so eastern maize is likely below the base."
Gram,Y,1,2,3,recommended_schedule,"NCIPM / DPPQ&S, 'Integrated Pest Management for Chickpea' (2014)",https://niphm.gov.in/IPMPackages/Chickpea.pdf,B,Y,"Pod borer sprays at flowering and podding once the ETL is crossed; HaNPV recommended as 3 sprays at weekly intervals, chemical options if the threshold is exceeded. No routine foliar fungicide. Conditional; no observed survey found. Reviewed 24 Sep 2026, left open: no crop-level survey found. The one Karnataka Helicoverpa survey (Honnakerappa & Udikeri, IJCMAS 7(8), 2018; 20 farmers per district) does not split sprays by crop."
Rapeseed & Mustard,Y,0.13,0.13,2,observed_survey,"Yadav & Dutta, 'A Study of Pesticide Consumption Pattern and Farmer's Perceptions towards Pesticides: A Case of Tijara Tehsil, Alwar (Rajasthan)', IJCMAS 8(4), 2019 (500 farmers, 2016-18)",https://www.ijcmas.com/8-4-2019/Sucheta%20Yadav%20and%20Subroto%20Dutta.pdf,B,N,"Survey Table 3 (n=500): 12.6% of mustard farmers sprayed once and 87.4% did not spray at all, so the mean is 0.13 passes a season. Low and base are that mean (a mean over all farmers, the same rule as rice). High 2 is ICAR-DRMR's schedule in a heavy aphid year: spray at 26-28 aphids per 10 cm terminal shoot on 10% of plants, repeat after 15 days (https://www.drmr.res.in/aphidforecast/aphid_management.html). One tehsil in Rajasthan, 2016-18; aphid pressure varies by year. Reviewed 24 Sep 2026."
Bajra,Y,0,0.66,2,observed_survey,"Yadav & Dutta, 'A Study of Pesticide Consumption Pattern and Farmer's Perceptions towards Pesticides: A Case of Tijara Tehsil, Alwar (Rajasthan)', IJCMAS 8(4), 2019 (500 farmers, 2016-18)",https://www.ijcmas.com/8-4-2019/Sucheta%20Yadav%20and%20Subroto%20Dutta.pdf,B,N,"Survey Table 3 (n=500): one application 39.2%, two 13.4%, none 47.4%, so the mean over all farmers is 0.66; base is that mean (same rule as rice and mustard, set 24 Sep 2026; was 1, the modal value among farmers who spray). Low 0 is the most common answer."
Sugarcane,Y,1,1,3,recommended_schedule,"NIPHM, 'AESA Based IPM Package for Sugarcane' (2014)",https://niphm.gov.in/IPMPackages/Sugarcane.pdf,C,N,"Base = one herbicide pass: the package lists several herbicide options at the sowing stage and metsulfuron methyl at tillering; the options are alternatives, not one spray each. High adds two of the conditional foliar insecticide sprays the package lists (chlorantraniliprole or fipronil for shoot borers, chlorpyrifos or monocrotophos for pyrilla and stalk borers). ICAR-SBI's weed schedule (pre-emergence atrazine at 3 DAP, directed atrazine at 90 DAP) adds no broadcast foliar pass. Grade C because which conditional sprays happen is judgement; no survey found. Source records sugarcane under Kharif only although the crop runs 10-12 months, which matters for the spray window in M4. Reviewed 24 Sep 2026, cleared."
Groundnut,Y,1,2,4,recommended_schedule,"DPPQ&S, 'Integrated Pest Management Package for Groundnut' (2014)",https://niphm.gov.in/IPMPackages/Groundnut.pdf,B,N,"'Two spray ... at 15 days interval after appearance of diseases' for leaf spot and rust. Insecticides for sucking pests, Spodoptera/Helicoverpa and leaf miner are need-based (ETL); high adds two of them. Herbicide is pre-emergence only, so not a foliar pass."
