state,child_district,parent_district,event,effective_date,transfer_scale,cluster_edge,source_title,source_url,source_grade,needs_check,note
Telangana,Mancherial,Adilabad,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
Telangana,Nirmal,Adilabad,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
Telangana,Kumuram Bheem Asifabad,Adilabad,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
Telangana,Jagitial,Karimnagar,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
Telangana,Peddapalli,Karimnagar,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
Telangana,Rajanna Sircilla,Karimnagar,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
Telangana,Kamareddy,Nizamabad,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
Telangana,Sangareddy,Medak,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
Telangana,Siddipet,Medak,split,2016-10-11,mandal,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,"Multi-parent: parts of old Medak, Karimnagar and Warangal"
Telangana,Siddipet,Karimnagar,split,2016-10-11,mandal,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,"Multi-parent: parts of old Medak, Karimnagar and Warangal"
Telangana,Siddipet,Warangal,split,2016-10-11,mandal,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,"Multi-parent: parts of old Medak, Karimnagar and Warangal"
Telangana,Suryapet,Nalgonda,split,2016-10-11,division,Y,"Indian Express, 'Telangana after the breakup', Oct 2016",https://indianexpress.com/article/india/india-news-india/telangana-breakup-districts-31-chandrasekhara-rao-why-3077732/,press,N,
