cost_item_key,label,unit,role,low,base,high,basis,source,grade,assumptions_version
price_per_acre,Service price charged to the farmer,INR per acre,price,300,550,800,base is the midpoint of the cited range,"Agri Farming, drone spraying cost per acre (2026-06-07): Rs 400-800 service only; Leher, drone spraying cost per acre: Rs 300-700",C,2026-09-24
drone_capex,Drone purchase price,INR,capex,349000,499000,1000000,"low 10 L drone, base 16 L drone (retail list prices); high is the largest package the scheme subsidises in full (Rs 8 lakh cap / 80%)",xboom.in agriculture drone prices (updated 2026-08-29); PIB PRID 2070029 (2024-11-01),C,2026-09-24
subsidy_share,"Namo Drone Didi central assistance, share of package cost",share,subsidy,0.8,0.8,0.8,"scheme terms; the report toggles subsidy on or off, default off (no extension past 2025-26 found as of 2026-09-24)","PIB PRID 2070029 (2024-11-01); Lok Sabha answer, PIB PRID 2244648 (2026-03-24)",A,2026-09-24
subsidy_cap,Namo Drone Didi assistance cap,INR,subsidy,800000,800000,800000,scheme terms,PIB PRID 2070029 (2024-11-01),A,2026-09-24
acres_per_day,Acres sprayed per working day,acres per day,capacity,20,20,40,low and base from the scheme guidelines; high is the low end of a vendor's 40-50 claim,"PIB PRID 2070029 (2024-11-01): 20 acres a day; Leher, drone spraying cost per acre: 40-50 acres a day",A,2026-09-24
annual_acres,Acres sprayed per drone per year,acres per year,utilisation,1000,2000,2500,"base and high are the scheme's target range (a target, not an observed figure); low from a vendor's operator figure","PIB PRID 2070029 (2024-11-01): at least 2,000 to 2,500 acres a year; Leher, drone spraying cost per acre: operators handling 1,000+ acres a year",A,2026-09-24
battery_cycle_life,Battery charge cycles before replacement,cycles,battery,1000,1000,1500,"no Indian source found; figures are for larger, non-Indian drones. Treat as a what-if parameter","University of Missouri Extension G1274 (1,000 cycles or 5 years); Leher (DJI Agras T10, 1,000 cycles); DJI Agras T25/T50 battery listings (1,500-cycle warranty)",C,2026-09-24
battery_set_price,Price of one battery set,INR,battery,18500,38940,38940,"base is an Indian maker's list price for a 12S 21,000 mAh pack (2026-09-24)","mPower agriculture spraying batteries, list price 2026-09-24; Leher: about Rs 18,500 per pack",C,2026-09-24
acres_per_battery_cycle,Acres sprayed per battery charge,acres per cycle,battery,1.9,2.0,2.1,derived: 15-minute flight time of a 10 L drone divided by 7-8 minutes per acre,ADRTC study via PIB PRID 2149706 (2025-07-29): one acre in 7-8 minutes; Garuda Kissan 10 L specification on xboom.in: 15-minute flight time,C,2026-09-24
drone_life_acres,Drone useful life,acres,depreciation,8000,8000,8000,US university assumption for larger drones; no Indian source found,University of Missouri Extension G1274,C,2026-09-24
income_benchmark,Scheme's expected additional income per SHG,INR per year,benchmark,100000,100000,100000,"scheme's stated aim; a reference line, not a cost","PIB explainer, Namo Drone Didi (November 2024): additional income of at least Rs 1 lakh per year",A,2026-09-24
